epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,789.434,2.0663,2.28262,1.45243,0.56142,0.23628,0.26878,0.12095,1.16662,3.39247,0.95991,0.000333233,0.000333233,0.0670099
2,1553.07,1.99636,2.07455,1.42117,0.58994,0.24722,0.30371,0.13387,1.17338,2.30028,0.9301,0.000665941,0.000665941,0.0340093
3,2310.76,1.91594,1.91024,1.36868,0.61324,0.26969,0.32687,0.14667,1.17648,1.86378,0.93087,0.000996148,0.000996148,0.00100617
4,3066.73,1.84825,1.758,1.34216,0.71281,0.34845,0.41162,0.18683,1.08192,1.99163,0.87718,0.000991892,0.000991892,0.000991892
5,3823.65,1.78791,1.59113,1.3071,0.62091,0.3389,0.39008,0.1835,1.07772,1.77802,0.85986,0.000985616,0.000985616,0.000985616
6,4582.49,1.73978,1.51961,1.28152,0.62285,0.36261,0.40008,0.19563,1.0875,2.01572,0.87149,0.000977587,0.000977587,0.000977587
7,5341.26,1.7016,1.41669,1.26222,0.59603,0.34606,0.3912,0.19509,1.12027,1.76955,0.8935,0.000967833,0.000967833,0.000967833
8,6103.05,1.66748,1.33102,1.24192,0.59273,0.33174,0.35954,0.17548,1.08848,1.86182,0.86984,0.00095639,0.00095639,0.00095639
9,6879.01,1.6279,1.26786,1.22849,0.70025,0.32936,0.36826,0.18051,1.07386,1.82887,0.86081,0.000943301,0.000943301,0.000943301
10,7658.52,1.57002,1.19991,1.19378,0.69109,0.36754,0.40379,0.20693,1.04517,1.64175,0.8449,0.000928612,0.000928612,0.000928612
11,8439.42,1.54646,1.16539,1.19261,0.60323,0.38186,0.39481,0.20424,1.11123,1.81544,0.88251,0.000912377,0.000912377,0.000912377
12,9205.35,1.49857,1.11081,1.15077,0.73601,0.36277,0.40775,0.207,1.11692,1.84879,0.88379,0.000894656,0.000894656,0.000894656
13,9968.31,1.48768,1.08199,1.15299,0.64513,0.36277,0.38859,0.19427,1.11626,1.8779,0.88081,0.000875513,0.000875513,0.000875513
14,10730.7,1.4782,1.05039,1.138,0.73772,0.36993,0.41215,0.20342,1.10789,1.709,0.88775,0.000855018,0.000855018,0.000855018
15,11493.6,1.45512,1.02263,1.13261,0.75777,0.36038,0.39096,0.19995,1.06146,1.63234,0.86062,0.000833246,0.000833246,0.000833246
16,12255.2,1.41703,0.98338,1.11805,0.63439,0.37947,0.39875,0.19939,1.13086,1.65463,0.90388,0.000810276,0.000810276,0.000810276
17,13018.2,1.41396,0.98441,1.12679,0.65258,0.33652,0.37855,0.19571,1.11409,1.69014,0.88045,0.000786192,0.000786192,0.000786192
18,13783.9,1.38472,0.94443,1.11462,0.76911,0.36754,0.40812,0.20494,1.10375,1.71634,0.88567,0.000761082,0.000761082,0.000761082
19,14546.5,1.37007,0.92023,1.10671,0.7188,0.35084,0.39213,0.19313,1.0679,1.87642,0.85965,0.000735038,0.000735038,0.000735038
20,15310,1.34519,0.88888,1.08249,0.68995,0.36038,0.38561,0.20257,1.06807,1.85276,0.85797,0.000708154,0.000708154,0.000708154
21,16073.6,1.32311,0.86482,1.07642,0.69359,0.36754,0.38841,0.20689,1.05447,1.82243,0.86624,0.000680529,0.000680529,0.000680529
22,16837.5,1.31928,0.86648,1.06997,0.6678,0.36943,0.38949,0.20476,1.07653,1.78828,0.8741,0.000652264,0.000652264,0.000652264
23,17601.2,1.29026,0.8296,1.06438,0.6836,0.38673,0.40279,0.2101,1.08039,1.75411,0.87895,0.000623461,0.000623461,0.000623461
24,18365,1.28591,0.82265,1.06134,0.67885,0.3747,0.40242,0.20891,1.0642,1.76403,0.87158,0.000594226,0.000594226,0.000594226
25,19128.7,1.26531,0.78815,1.05531,0.67537,0.3747,0.39914,0.20989,1.0883,1.80481,0.8873,0.000564666,0.000564666,0.000564666
26,19893.1,1.24201,0.78529,1.04371,0.72834,0.38186,0.40024,0.20479,1.08645,1.8214,0.88503,0.000534887,0.000534887,0.000534887
27,20657,1.22925,0.77098,1.0358,0.73014,0.36993,0.39665,0.20473,1.09388,1.80052,0.89499,0.000505,0.000505,0.000505
28,21420.7,1.20437,0.76145,1.02433,0.70514,0.36516,0.3983,0.20534,1.09487,1.79789,0.89836,0.000475113,0.000475113,0.000475113
29,22185.5,1.20448,0.74471,1.02592,0.68431,0.36516,0.39678,0.20702,1.10203,1.78546,0.90437,0.000445334,0.000445334,0.000445334
30,22949,1.18064,0.71995,1.01346,0.70443,0.35322,0.39031,0.20322,1.0928,1.80296,0.9017,0.000415774,0.000415774,0.000415774
31,23714.6,1.1632,0.71476,1.01526,0.70018,0.34606,0.38468,0.20037,1.0934,1.81261,0.90087,0.000386539,0.000386539,0.000386539
32,24476.6,1.13142,0.68729,1.00087,0.69012,0.34368,0.38377,0.20058,1.08999,1.82358,0.89804,0.000357736,0.000357736,0.000357736
33,25238.6,1.13634,0.68487,0.99584,0.8021,0.32458,0.38293,0.20015,1.09497,1.82257,0.90358,0.000329471,0.000329471,0.000329471
34,26000.9,1.11186,0.66362,0.99169,0.79242,0.32936,0.38296,0.19868,1.10671,1.81389,0.91194,0.000301846,0.000301846,0.000301846
35,26763.1,1.10634,0.66511,0.99002,0.80222,0.32936,0.38005,0.19874,1.11318,1.81568,0.91999,0.000274962,0.000274962,0.000274962
36,27527,1.09336,0.64896,0.98776,0.70661,0.35561,0.38208,0.19675,1.12197,1.81341,0.92402,0.000248918,0.000248918,0.000248918
37,28289.1,1.084,0.64941,0.97265,0.71618,0.35561,0.38147,0.19662,1.12682,1.82023,0.9243,0.000223808,0.000223808,0.000223808
38,29050.9,1.06198,0.63233,0.96205,0.72959,0.35322,0.38071,0.19718,1.1291,1.82507,0.92808,0.000199724,0.000199724,0.000199724
39,29814.5,1.04895,0.62887,0.97164,0.73607,0.35277,0.37888,0.19568,1.1297,1.83362,0.92948,0.000176754,0.000176754,0.000176754
40,30577,1.04319,0.60809,0.97144,0.73345,0.35322,0.37844,0.19506,1.13149,1.83787,0.93144,0.000154982,0.000154982,0.000154982
41,31339,1.02871,0.60494,0.95934,0.73224,0.35322,0.37652,0.19319,1.13212,1.84896,0.93291,0.000134487,0.000134487,0.000134487
