epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.55,1.60675,1.25649,1.03803,0.63292,0.43748,0.49041,0.25565,1.65865,1.59241,1.06053,0.000199462,0.000199462,0.0802532
2,296.24,1.64681,1.13075,1.05463,0.68809,0.45025,0.51525,0.2773,1.66988,1.55641,1.08483,0.000399419,0.000399419,0.0604532
3,440.717,1.68021,1.16991,1.07615,0.67649,0.44639,0.51665,0.27812,1.60049,1.32734,1.04252,0.000599202,0.000599202,0.040653
4,585.288,1.67671,1.16462,1.07438,0.64083,0.46676,0.51708,0.27493,1.64396,1.63697,1.05297,0.000798681,0.000798681,0.0208524
5,729.52,1.68639,1.14657,1.07183,0.61947,0.4694,0.50738,0.27723,1.65306,1.29086,1.06701,0.000997727,0.000997727,0.00105149
6,873.729,1.6399,1.11938,1.05271,0.65963,0.47174,0.52673,0.28862,1.60885,1.25752,1.0553,0.000997288,0.000997288,0.000997288
7,1018.77,1.64547,1.08974,1.06924,0.67746,0.47051,0.53864,0.29159,1.62828,1.18553,1.05744,0.000996097,0.000996097,0.000996097
8,1164.12,1.63452,1.08441,1.04559,0.70455,0.46442,0.53821,0.2971,1.552,1.17203,1.02189,0.00099469,0.00099469,0.00099469
9,1309.81,1.5793,1.0316,1.04671,0.66478,0.48697,0.5488,0.29492,1.61813,1.20788,1.05498,0.000993068,0.000993068,0.000993068
10,1456,1.58673,1.05722,1.03794,0.68295,0.48638,0.55306,0.29591,1.57292,1.28272,1.02462,0.000991232,0.000991232,0.000991232
11,1601.28,1.59036,1.06151,1.04504,0.6987,0.50395,0.56637,0.309,1.51374,1.20767,1.01155,0.000989183,0.000989183,0.000989183
12,1747.33,1.59755,1.02596,1.02433,0.71439,0.48346,0.56402,0.30652,1.55294,1.1842,1.01855,0.000986922,0.000986922,0.000986922
13,1893.4,1.56372,1.0125,1.02682,0.73697,0.48873,0.57226,0.31422,1.57956,1.15091,1.03806,0.000984449,0.000984449,0.000984449
14,2040.09,1.54905,0.97821,1.01222,0.7254,0.4776,0.56464,0.31095,1.54219,1.14849,1.02244,0.000981765,0.000981765,0.000981765
15,2184.41,1.54295,0.98023,1.02719,0.72907,0.49563,0.57426,0.32184,1.50318,1.09446,1.00931,0.000978873,0.000978873,0.000978873
16,2333.6,1.52339,0.98369,1.01692,0.73503,0.489,0.57255,0.31755,1.49543,1.19201,0.99667,0.000975773,0.000975773,0.000975773
17,2481.85,1.52963,1.00542,1.01457,0.73143,0.49078,0.57457,0.3199,1.49669,1.12366,1.00266,0.000972466,0.000972466,0.000972466
18,2631.83,1.49571,0.95314,1.00438,0.70433,0.48968,0.57438,0.31942,1.50707,1.08505,1.00953,0.000968955,0.000968955,0.000968955
19,2783.24,1.52264,0.98528,1.01341,0.70036,0.51362,0.57895,0.3232,1.48865,1.07201,1.00001,0.000965239,0.000965239,0.000965239
20,2934.66,1.52508,0.9973,1.01091,0.73303,0.50815,0.58511,0.32575,1.52723,1.08609,1.00984,0.000961322,0.000961322,0.000961322
