epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,440.739,1.3826,0.96054,1.27601,0.81784,0.69213,0.78695,0.4664,1.3025,0.7857,1.2764,0.00997868,0.00332623,0.00997868,0.00332623,0.00997868,0.00332623,0.00997868,0.00332623
2,846.583,1.34926,0.84006,1.2504,0.80606,0.68595,0.77368,0.44475,1.35963,0.80492,1.30745,0.0199738,0.00665793,0.0199738,0.00665793,0.0199738,0.00665793,0.0199738,0.00665793
3,1236.02,1.40761,0.88822,1.29423,0.79122,0.66101,0.74323,0.41007,1.45847,0.87436,1.43435,0.0299494,0.00998313,0.0299494,0.00998313,0.0299494,0.00998313,0.0299494,0.00998313
4,1627.31,1.44264,0.92067,1.32124,0.79738,0.67945,0.76134,0.43125,1.40976,0.85844,1.36892,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
5,2014.54,1.41374,0.89142,1.30542,0.80613,0.67718,0.7624,0.43754,1.39373,0.80803,1.36413,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
6,2399.26,1.38584,0.86296,1.29282,0.82292,0.69561,0.78647,0.45485,1.3765,0.76353,1.35392,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,2787.16,1.35545,0.83533,1.27283,0.8293,0.70384,0.79252,0.4641,1.34234,0.7531,1.33741,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,3172.11,1.33655,0.81663,1.2642,0.81289,0.7027,0.79206,0.46492,1.33902,0.77822,1.33278,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,3555.12,1.3144,0.80357,1.2518,0.83291,0.7199,0.80648,0.47814,1.3141,0.7299,1.31208,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,3938.86,1.31006,0.7936,1.24531,0.83768,0.71979,0.8092,0.48335,1.30156,0.7169,1.31041,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
11,4323.64,1.28775,0.77828,1.23189,0.83655,0.72716,0.80974,0.48384,1.29563,0.70433,1.30918,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
12,4710.51,1.28714,0.7719,1.23431,0.8427,0.72704,0.81772,0.49657,1.26937,0.69426,1.29089,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
13,5095.69,1.28042,0.76985,1.22759,0.84279,0.72922,0.82045,0.49684,1.27218,0.68497,1.28989,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
14,5479.55,1.2727,0.75953,1.21919,0.84426,0.73292,0.82044,0.49888,1.27031,0.6813,1.29618,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
