epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.011,1.96482,1.34159,1.25146,0.62229,0.41113,0.41861,0.20898,1.8563,1.58,1.21559,0.000166219,0.000166219,0.0669225
2,265.319,1.82584,1.1793,1.18299,0.61354,0.4263,0.44248,0.22148,1.81023,1.46255,1.18493,0.000332758,0.000332758,0.0337557
3,395.893,1.79076,1.15575,1.16962,0.65482,0.43133,0.47466,0.24037,1.74732,1.37609,1.15001,0.00049879,0.00049879,0.000588395
4,526.413,1.72263,1.08835,1.14013,0.62859,0.45066,0.48559,0.24956,1.71913,1.31711,1.14877,0.000498284,0.000498284,0.000498284
5,655.896,1.70061,1.0566,1.12144,0.63821,0.46232,0.49946,0.25786,1.70461,1.27884,1.12889,0.000496953,0.000496953,0.000496953
6,786.528,1.67917,1.03838,1.11803,0.65305,0.45251,0.50426,0.26372,1.69096,1.29711,1.12523,0.000495244,0.000495244,0.000495244
7,916.727,1.66962,1.01951,1.13018,0.6608,0.46091,0.50697,0.26462,1.70519,1.29956,1.13257,0.000493162,0.000493162,0.000493162
8,1051.52,1.64956,1.02042,1.10009,0.66926,0.46325,0.5155,0.26882,1.68981,1.21522,1.11726,0.000490708,0.000490708,0.000490708
9,1185.28,1.62725,0.98845,1.11535,0.66946,0.4694,0.52328,0.2786,1.67187,1.16928,1.12,0.000487886,0.000487886,0.000487886
10,1316.87,1.61868,1.00872,1.09449,0.67945,0.45505,0.5248,0.2775,1.66221,1.16697,1.11705,0.000484702,0.000484702,0.000484702
11,1448.01,1.60412,0.98193,1.10055,0.69621,0.46977,0.52954,0.28316,1.62298,1.29914,1.09208,0.00048116,0.00048116,0.00048116
12,1580.08,1.63401,0.98581,1.07592,0.70225,0.46266,0.53247,0.28471,1.62401,1.14646,1.09815,0.000477265,0.000477265,0.000477265
13,1711.75,1.5837,0.9597,1.08072,0.71477,0.46706,0.53785,0.28874,1.61725,1.19736,1.08896,0.000473024,0.000473024,0.000473024
