epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,441.939,1.66366,1.19652,1.55759,0.74257,0.61774,0.70779,0.38776,1.50597,0.95417,1.49133,0.00997868,0.00332623,0.00997868,0.00332623,0.00997868,0.00332623,0.00997868,0.00332623
2,845.206,1.48677,0.97507,1.40919,0.7779,0.65204,0.74358,0.4181,1.44541,0.89031,1.44933,0.0199738,0.00665793,0.0199738,0.00665793,0.0199738,0.00665793,0.0199738,0.00665793
3,1223.22,1.45409,0.93119,1.38823,0.80206,0.66226,0.7504,0.41873,1.45456,0.82623,1.45903,0.0299494,0.00998313,0.0299494,0.00998313,0.0299494,0.00998313,0.0299494,0.00998313
4,1602.33,1.43056,0.90131,1.36507,0.80185,0.67719,0.76543,0.43763,1.40657,0.83804,1.43525,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
5,1980.2,1.40924,0.87541,1.34766,0.81283,0.67988,0.77047,0.44578,1.39349,0.78271,1.40406,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
6,2360.76,1.3881,0.85594,1.3381,0.81746,0.69867,0.7867,0.45455,1.38226,0.75653,1.39322,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,2740.32,1.36002,0.83106,1.31739,0.82511,0.70622,0.79362,0.4665,1.34488,0.74952,1.38634,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,3118.48,1.34798,0.81413,1.3143,0.82532,0.70193,0.79571,0.46894,1.34317,0.74222,1.3821,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,3498.26,1.32762,0.80449,1.3002,0.83072,0.71579,0.80457,0.47897,1.32396,0.72548,1.36456,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,3877.47,1.32258,0.79637,1.29347,0.82562,0.71208,0.80206,0.47418,1.3253,0.72539,1.37173,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
11,4257.27,1.30143,0.77882,1.27853,0.83555,0.71781,0.80707,0.4795,1.31341,0.71131,1.36108,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
12,4636.09,1.30429,0.77819,1.28183,0.83267,0.72631,0.81358,0.4896,1.29158,0.71004,1.34613,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
13,5017.43,1.29724,0.77484,1.27597,0.83708,0.7293,0.81582,0.49164,1.29291,0.69396,1.3542,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
14,5397.69,1.29228,0.76909,1.26877,0.83816,0.73163,0.81811,0.49426,1.29529,0.68711,1.34335,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
15,5776.39,1.29003,0.76403,1.27025,0.84379,0.72432,0.81538,0.49519,1.28255,0.6812,1.33841,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
16,6155.82,1.27532,0.75029,1.2541,0.84122,0.73547,0.82291,0.49859,1.27951,0.69234,1.33394,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
17,6534.36,1.27587,0.75067,1.25902,0.84839,0.72866,0.82135,0.49919,1.27535,0.66558,1.34034,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
