epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,548.687,1.41894,0.99715,1.22062,0.74755,0.73115,0.78324,0.45198,1.47427,0.99604,1.29033,0.000665832,0.000665832,0.000665832
2,1103.04,1.51604,1.10118,1.27436,0.80734,0.75396,0.82998,0.48444,1.41779,0.99624,1.27179,0.00130612,0.00130612,0.00130612
3,1654.71,1.47407,1.04678,1.25942,0.78762,0.73423,0.81154,0.49115,1.36465,0.94243,1.26024,0.00192,0.00192,0.00192
4,2203.94,1.39462,0.95238,1.22095,0.85092,0.7765,0.86904,0.56237,1.24403,0.78496,1.19362,0.0018812,0.0018812,0.0018812
5,2756.4,1.32895,0.87984,1.1848,0.86787,0.8177,0.89954,0.59744,1.18809,0.70719,1.15637,0.0018416,0.0018416,0.0018416
6,3316.51,1.26183,0.8135,1.14895,0.87856,0.83319,0.91059,0.61929,1.13298,0.65921,1.13026,0.001802,0.001802,0.001802
7,3864.16,1.2098,0.77283,1.12892,0.87171,0.86493,0.92562,0.65285,1.06063,0.6169,1.09095,0.0017624,0.0017624,0.0017624
8,4407.89,1.17427,0.74044,1.11205,0.89723,0.88175,0.93893,0.67079,1.01156,0.56248,1.06655,0.0017228,0.0017228,0.0017228
9,4952.43,1.13184,0.70711,1.09353,0.92625,0.8824,0.94901,0.68988,0.97137,0.53456,1.04642,0.0016832,0.0016832,0.0016832
10,5502.92,1.09798,0.67646,1.07832,0.93073,0.86724,0.94796,0.70551,0.93787,0.50839,1.03016,0.0016436,0.0016436,0.0016436
11,6052.13,1.06747,0.65355,1.06545,0.93475,0.88628,0.95289,0.70539,0.94808,0.50463,1.03205,0.001604,0.001604,0.001604
12,6610.33,1.04143,0.63604,1.05424,0.9371,0.89413,0.95965,0.73441,0.87371,0.4675,1.00985,0.0015644,0.0015644,0.0015644
13,7164.09,1.01212,0.60982,1.04253,0.93851,0.90117,0.95991,0.73762,0.85544,0.45748,0.99777,0.0015248,0.0015248,0.0015248
14,7712.52,0.99149,0.59401,1.03202,0.94684,0.89696,0.96558,0.74702,0.84236,0.43571,0.98418,0.0014852,0.0014852,0.0014852
15,8261.82,0.95947,0.57652,1.01969,0.94089,0.90003,0.96613,0.75381,0.82477,0.42741,0.97956,0.0014456,0.0014456,0.0014456
16,8810.79,0.94915,0.56306,1.01472,0.94327,0.90828,0.96731,0.76238,0.79071,0.40671,0.96729,0.001406,0.001406,0.001406
17,9361.23,0.92545,0.54853,1.00649,0.95634,0.91184,0.97059,0.77572,0.76895,0.38988,0.95445,0.0013664,0.0013664,0.0013664
18,9910.72,0.89957,0.53612,0.99794,0.94884,0.91427,0.97217,0.77917,0.75365,0.38325,0.9493,0.0013268,0.0013268,0.0013268
19,10462.9,0.8808,0.51712,0.98686,0.96148,0.90846,0.97174,0.78372,0.74407,0.37773,0.94118,0.0012872,0.0012872,0.0012872
20,11007.7,0.86513,0.50843,0.98113,0.95076,0.92459,0.97421,0.79201,0.71566,0.37132,0.9337,0.0012476,0.0012476,0.0012476
21,11553.6,0.85042,0.49923,0.97746,0.9526,0.92721,0.9756,0.80276,0.69483,0.36182,0.92363,0.001208,0.001208,0.001208
22,12100.8,0.83231,0.48546,0.96647,0.95764,0.92219,0.97353,0.80327,0.69376,0.35513,0.9248,0.0011684,0.0011684,0.0011684
23,12648.4,0.81962,0.47892,0.96415,0.9562,0.92737,0.9772,0.81736,0.6604,0.34086,0.9111,0.0011288,0.0011288,0.0011288
24,13198.8,0.80696,0.47148,0.95955,0.96579,0.92333,0.97908,0.82493,0.64598,0.33158,0.90384,0.0010892,0.0010892,0.0010892
25,13754.3,0.79481,0.46519,0.95362,0.964,0.93557,0.98089,0.82829,0.63202,0.32285,0.89982,0.0010496,0.0010496,0.0010496
26,14305.9,0.77947,0.45645,0.94731,0.96727,0.93228,0.98083,0.83111,0.62609,0.3208,0.89579,0.00101,0.00101,0.00101
27,14849.6,0.7642,0.44686,0.94095,0.96647,0.93247,0.9804,0.83551,0.61606,0.31237,0.88997,0.0009704,0.0009704,0.0009704
28,15394.4,0.75522,0.43849,0.93703,0.96092,0.94063,0.98194,0.83825,0.60795,0.31019,0.89009,0.0009308,0.0009308,0.0009308
29,15939.1,0.73762,0.43044,0.93187,0.96221,0.94565,0.98232,0.84215,0.59428,0.29936,0.88446,0.0008912,0.0008912,0.0008912
30,16479.3,0.73208,0.42322,0.92651,0.96373,0.94338,0.98306,0.85012,0.57982,0.29596,0.88003,0.0008516,0.0008516,0.0008516
31,17022.6,0.71958,0.41823,0.92394,0.96759,0.94164,0.98355,0.85563,0.56781,0.29051,0.87525,0.000812,0.000812,0.000812
32,17577.5,0.70292,0.4106,0.92015,0.96581,0.94595,0.98375,0.85664,0.56084,0.28721,0.87426,0.0007724,0.0007724,0.0007724
33,18118.1,0.69646,0.40531,0.91471,0.96779,0.94452,0.98431,0.86007,0.54927,0.2822,0.86922,0.0007328,0.0007328,0.0007328
34,18653.8,0.6744,0.39383,0.90977,0.96388,0.95099,0.98532,0.86459,0.53961,0.27676,0.867,0.0006932,0.0006932,0.0006932
35,19188.1,0.67034,0.39103,0.90755,0.97056,0.9484,0.985,0.86668,0.53583,0.27483,0.86466,0.0006536,0.0006536,0.0006536
36,19723,0.667,0.3895,0.90631,0.97227,0.94549,0.98558,0.87139,0.52232,0.26917,0.85902,0.000614,0.000614,0.000614
37,20257.5,0.65363,0.38131,0.90037,0.97027,0.95082,0.9858,0.87274,0.51579,0.26436,0.85699,0.0005744,0.0005744,0.0005744
38,20796.6,0.64241,0.37427,0.89812,0.96939,0.95279,0.98709,0.87643,0.50823,0.26126,0.85635,0.0005348,0.0005348,0.0005348
